PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40085126,Stable and discriminating OCT-derived radiomics features for predicting anti-the PI3K inhibitorVEGF treatment response in diabetic macular edema.,2025 Mar 14,,,
40085050,Protein profiles predict treatment responses to  umbralisib in patients with chronic lymphocytic leukemia.,2025 Mar 14,,,
40085028,Use of Intraoperative Manual Drainage for the Detection of Lymphatic Ducts for Lymphaticovenous Anastomosis.,2025 Feb 19,,,
40085012,Moderators of digital cognitive-behavioral therapy for youth with sickle cell disease pain: secondary analysis of a randomized controlled trial.,2025 Mar 13,,,
40084969,Tumors in Solitary Kidneys Are Not All Equal: Outcomes of Partial Nephrectomy in High-Risk Cases.,2025 Mar 14,,,
40084968,Evaluating Treatment Patterns in Bell's Palsy Using Nationwide Employer-Sponsored Healthcare Claims.,2025 Mar 14,,,
40084959,Extended Anterolateral Thigh Flaps: Maximum Size for Covering Cancerous Defects.,2025 Feb 27,,,
40084943,"Treatment Delays in the Hispanic Population with Renal Cell Carcinoma: An Analysis of Over 150,000 Patients using the National Cancer Database.",2025 Mar 14,,,
40084940,"Pterostilbene Exhibited the Anticancer Effect Against 1, 2-Dimethylhydrazine (DMH)-Induced Colorectal Cancer via Alteration of Oxidative Stress, Inflammation and Gut Microbiota.",2025 Mar,,,
40084939,CD103+CD56+ ILCs Are Associated with an Altered CD8+ T-cell Profile within the Tumor Microenvironment.,2025 Mar 14,,,
